127.0.0.1 - - [14/Oct/2023:20:04:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:04:19 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:04:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:50 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:51 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:51 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:51 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:51 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:51 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:52 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:52 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:52 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:52 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:53 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:53 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:53 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:53 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:54 +0530] "GET /j2ee2023/Signup? HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:17:56 +0530] "GET /j2ee2023/Signup? HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:22:24 +0530] "GET /j2ee2023/Login.html HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:22:26 +0530] "GET /j2ee2023/Signup.html HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:22:29 +0530] "GET /j2ee2023/Signup.html HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:22:32 +0530] "GET /j2ee2023/Signup.html HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:22:43 +0530] "GET /j2ee2023/Signup.html HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:26:12 +0530] "GET /j2ee2023/signup.html HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:26:18 +0530] "GET /j2ee2023/Signup? HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:26:22 +0530] "GET /j2ee2023/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2023:20:26:23 +0530] "GET /j2ee2023/Signup.html HTTP/1.1" 404 775
