127.0.0.1 - - [17/Feb/2024:13:48:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:48:59 +0530] "GET /j2ee2023/CLogin..jsp HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:48:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:49:14 +0530] "POST /j2ee2023/CLoinServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:49:50 +0530] "POST /j2ee2023/CLoginServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:49:51 +0530] "POST /j2ee2023/CLoginServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:50:25 +0530] "POST /j2ee2023/CLoginServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:50:26 +0530] "POST /j2ee2023/CLoginServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:50:27 +0530] "POST /j2ee2023/CLoginServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:50:29 +0530] "POST /j2ee2023/CLoginServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:51:04 +0530] "POST /j2ee2023/CLoginServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:55:55 +0530] "POST /j2ee2023/CLoginServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:55:56 +0530] "POST /j2ee2023/CLoginServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:55:58 +0530] "POST /j2ee2023/CLoginServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:55:59 +0530] "POST /j2ee2023/CLoginServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:56:00 +0530] "POST /j2ee2023/CLoginServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:56:13 +0530] "POST /j2ee2023/CLoginServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [17/Feb/2024:13:56:32 +0530] "GET /j2ee2023/ HTTP/1.1" 200 161
